MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
169.9682,385.996,-34.30202,121.3776,441.6464,1,0,0,0,0,4.494934,-1.000324,-35.0773,0,4.362976,0.09424993,0.5251515,0,0,0,0,0,1.436111,-9.720509,-4.936637,1.625004,0,-9.862494,-4.715814,-1,0,0,0,0,0,-10,83.35395,-8.646086,0,22.61778,-28.07026,1,0,0,0,0,-81.33031,0,0,130,0,0,39,2,213

227.2364,346.9013,-84.11813,169.9682,385.996,1,0,0,0,0,4.46212,-2.06814,-32.80284,0,4.46212,-1.000324,1,0,0,0,0,0,-0.5700499,-10.61289,-5.367496,-32.7711,0,-10.61289,-4.936637,-1,0,0,0,0,0,-10,86.95622,-8.550517,0,15.24879,-28.36262,-1,0,0,0,0,-84.75121,0,0,130,0,0,40,2,213

258.3658,325.0694,-116.737,-132.7636,346.9013,-1,0,0,0,0,4.568172,-2.819723,-16.74195,0,4.568172,-2.06814,0.9386295,0,0,0,0,0,-2.52447,-10.73747,-5.603348,-50.50502,0,-10.73747,-5.367496,1,0,0,0,0,0,-10,89.59188,-8.433166,0.2493344,11.95512,-28.04912,-1,0,0,0,0,-88.04488,0,0,130,0,0,41,2,213

275.4856,305.7029,-88.94823,-101.6342,325.0694,-1,0,0,0,0,4.509449,0.2203581,-2.958107,0,4.568172,-2.819723,0.3974289,0,0,0,0,0,-3.921664,-11.89642,-5.007829,-55.066,0,-10.73747,-5.603348,1,0,0,0,0,0,-10,91.03307,-5.942659,1.064091,11.95512,-27.66416,-1,0,0,0,0,-90.81135,0,0,130,0,0,42,2,213

300.7338,400.4938,-68.89734,-84.5144,305.7029,-1,0,0,0,0,4.520679,2.420761,29.51922,0,4.509449,0.2203581,0.1448005,0,0,0,0,0,1.712876,-11.9196,-4.398623,-52.14352,0,-11.89642,-5.007829,1,0,0,0,0,0,-10,92.49697,-3.39937,1.750682,9.188652,-19.4943,-1,0,0,0,0,-92.15739,0,0,130,0,0,43,2,213

328.7738,429.715,-45.04689,-59.2662,400.4938,-1,0,0,0,0,4.393055,3.590635,50.7639,0,4.393055,2.420761,-0.7350891,0,0,0,0,0,5.769788,-12.71058,-3.819053,-36.03228,0,-12.71058,-4.398623,1,0,0,0,0,0,-10,93.0533,-2.141243,1.652747,6.369324,-11.15129,1,0,0,0,0,-93.63068,0,0,130,0,0,44,2,213

