MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,PitchAngularVelocityRadsPerSecond,PitchAngularVelocityGain,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,RollAngularVelocityRadsPerSecond,RollAngularVelocityGain,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
315.5093,-178.8993,5.730082,-31.13629,-181.8056,1,0,0,0,0,0.6041098,0.9749414,8.395895,0,0.5205245,0.9241646,0.01291936,0,0,0,0,0,1.868454,0,0,-0.9068587,1.176616,34.44014,0,-0.8286307,0.7589824,-1,0,0,0,0,0,0.9619595,0,0,9.18891,-0.9582949,0,91.66079,-3.701988,0.5,0,0,0,0,-8.940786,0,0,19,0,0,22,2,229
295.7242,-171.9759,5.580328,-44.49072,-178.8993,1,0,0,0,0,0.6041098,1.100358,19.03437,0,0.6041098,0.9749414,-0.1986756,0,0,0,0,0,1.987004,0,0,-0.9068587,1.796076,29.40096,0,-0.9068587,1.176616,-1,0,0,0,0,0,2.03408,0,0,9.503854,-0.6450047,0,91.05921,-3.14359,0.5,0,0,0,0,-8.940786,0,0,19,0,0,23,2,229
281.7866,-166.9517,5.195219,-64.27576,-171.9759,1,0,0,0,0,0.9419026,1.190994,25.03605,0,0.9419026,1.100358,-0.5212408,0,0,0,0,0,2.317776,0,0,-0.9068587,2.182125,21.33334,0,-0.9068587,1.796076,-1,0,0,0,0,0,3.791054,0,0,9.649378,-0.4627228,0,90.69057,-2.115874,0.5,0,0,0,0,-9.309426,0,0,19,0,0,24,2,229
266.6772,-162.1189,4.972465,-78.21338,-166.9517,1,0,0,0,0,0.9419026,1.246493,29.13079,0,0.9419026,1.190994,-0.6990433,0,0,0,0,0,2.486268,0,0,-0.9068587,2.561856,9.881513,0,-0.9068587,2.182125,-1,0,0,0,0,0,4.886004,0,0,9.758028,-0.3354892,0,90.69057,-1.517916,0.5,0,0,0,0,-9.309426,0,0,19,0,0,25,2,229
250.3394,-158.757,4.716655,-93.32281,-162.1189,1,0,0,0,0,0.8695469,1.232303,30.29046,0,0.9419026,1.246493,-0.8227819,0,0,0,0,0,2.589439,0,0,-0.8518057,2.943537,-4.312161,0,-0.9068587,2.561856,-0.4490992,0,0,0,0,0,5,0,0,9.849198,-0.2762466,0,90.69057,-1.100539,0.5,0,0,0,0,-10.0539,0,0,19,0,0,26,2,229
234.1259,-158.8788,4.42527,-109.6606,-158.757,1,0,0,0,0,0.6965189,1.10945,27.83465,0,0.8695469,1.232303,-0.8601976,0,0,0,0,0,2.542151,0,0,0.1825652,3.33264,-19.29962,0,-0.8518057,2.943537,0.8567188,0,0,0,0,0,5,0,0,9.927158,-0.2291546,0,89.94611,-0.9061995,0.5,0,0,0,0,-10.21244,0,0,19,0,0,27,2,229
212.7578,-167.7403,3.77944,-125.8741,-158.8788,1,0,0,0,0,1.444461,0.7573935,17.33357,0,1.444461,1.10945,-0.7926975,0,0,0,0,0,2.479917,0,0,0.1275122,3.903633,-38.46425,0,0.1275122,3.33264,1,0,0,0,0,0,5,0,0,10.00251,-0.08331995,0,89.79474,-0.7517188,0.5,0,0,0,0,-10.20526,0,0,19,0,0,28,2,229
200.6098,-178.7662,3.409431,-147.2422,-167.7403,0.4108712,0,0,0,0,1.444461,0.511661,6.466238,0,1.444461,0.7573935,-0.480752,0,0,0,0,0,1.825444,0,0,0.1275122,4.249916,-44.10819,0,0.1275122,3.903633,1,0,0,0,0,0,5,0,0,10.01649,0.004399438,0,89.79474,-0.2733228,0.5,0,0,0,0,-10.20526,0,0,19,0,0,29,2,229
188.923,-194.1099,3.010956,-159.3902,-178.7662,-0.2303192,0,0,0,0,1.427375,0.220572,-6.358629,0,1.444461,0.511661,-0.158026,0,0,0,0,0,1.368627,0,0,1.028602,4.541445,-42.71516,0,0.1275122,4.249916,1,0,0,0,0,0,5,0,0,9.989636,0.1492873,0,89.79474,0.01443192,0.5,0,0,0,0,-10.22091,0,0,19,0,0,30,2,229
171.6072,-177.6198,2.583264,-171.077,-194.1099,-0.8993854,0,0,0,0,1.508554,-0.3320854,-23.7906,0,1.427375,0.220572,0.2226167,0,0,0,0,0,0.8225546,0,0,2.141201,5.007909,-31.17781,0,1.028602,4.541445,1,0,0,0,0,0,5,0,0,9.852453,0.4026478,0,89.77908,0.489722,0.5,0,0,0,0,-10.14653,0,0,19,0,0,31,2,229
156.1335,-128.4512,3.392432,171.6072,-177.6198,1,0,0,0,0,1.508554,-0.9684236,-34.52065,0,1.508554,-0.3320854,0.731886,0,0,0,0,0,-0.1813746,0,0,2.141201,5.469857,-14.78207,0,2.141201,5.007909,1,0,0,0,0,0,5,0,0,9.672043,0.5056375,0,89.85347,1.320846,0.5,0,0,0,0,-10.14653,0,0,19,0,0,32,2,229
148.9219,-75.27642,3.730097,156.1335,-128.4512,1,0,0,0,0,1.745675,-1.426622,-38.22333,0,1.745675,-0.9684236,1,0,0,0,0,0,-1.295799,0,0,3.120519,5.781051,-4.445729,0,3.120519,5.469857,1,0,0,0,0,0,5,0,0,9.557462,0.4885922,0,90.07076,1.658693,0.5,0,0,0,0,-9.929249,0,0,19,0,0,33,2,229
138.4284,-96.5155,4.048396,148.9219,-75.27642,1,0,0,0,0,1.745675,-2.334662,-40.25885,0,1.745675,-1.426622,1,0,0,0,0,0,-2.14759,0,0,3.120519,5.666159,12.52903,0,3.120519,5.781051,0.869007,0,0,0,0,0,5,0,0,9.419257,0.3590181,0,90.07076,1.602778,0.5,0,0,0,0,-9.929249,0,0,19,0,0,34,2,229
121.5451,-148.6468,4.337727,138.4284,-96.5155,1,0,0,0,0,0.6428523,-3.414032,-35.41389,0,1.745675,-2.334662,1,0,0,0,0,0,-3.835637,0,0,4.076662,5.169435,35.31879,0,3.120519,5.666159,-0.6926705,0,0,0,0,0,5,0,0,9.325798,0.2835307,0,90.07076,1.177723,0.5,0,0,0,0,-9.583452,0,0,19,0,0,35,2,229
106.9821,-176.8367,4.832288,121.5451,-148.6468,1,0,0,0,0,0.0508523,-4.51735,-22.92246,0,0.0508523,-3.414032,0.9068428,0,0,0,0,0,-6.33199,0,0,3.998434,4.539843,55.5421,0,3.998434,5.169435,-1,0,0,0,0,0,5,0,0,9.202121,0.4885116,0,90.55225,0.930094,0.5,0,0,0,0,-9.447748,0,0,19,0,0,36,2,229
100.2661,-181.4046,5.041441,106.9821,-176.8367,1,0,0,0,0,0.0508523,-5.150189,-11.83244,0,0.0508523,-4.51735,0.4507214,0,0,0,0,0,-8.383058,0,0,3.998434,4.191619,64.49751,0,3.998434,4.539843,-1,0,0,0,0,0,5,0,0,9.053127,0.7530985,0,90.55225,1.602513,0.5,0,0,0,0,-9.447748,0,0,19,0,0,37,2,229
