MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
271.5643,108.002,0,-88.43567,108.002,-1,0,0,0,0,2.636402,4.010007,38.43761,0,2.209166,4.010007,0.9406812,0,0,0,0,0,8.093053,-6.716071,-9.499298,166.9799,0,-5.759928,-9.499298,-1,0,0,0,0,0,-10,29.17564,2.37438,0,129.1756,7.788915,1,0,0,0,0,0,0,284,0,0,27,2,209

259.0041,214.8237,0,-88.43567,108.002,-1,0,0,0,0,2.636402,4.794856,19.60066,0,2.636402,4.010007,0.9368535,0,0,0,0,0,8.216524,-6.716071,-9.410454,151.3187,0,-6.716071,-9.499298,-1,0,0,0,0,0,-10,28.15596,3.96708,0,129.1756,7.788915,1,0,0,0,0,0,0,284,0,0,28,2,209

245.209,306.5112,0,-100.9959,214.8237,-1,0,0,0,0,2.980051,5.67487,-5.856107,0,2.980051,4.794856,0.3045994,0,0,0,0,0,9.774872,-7.593987,-9.245496,136.3008,0,-7.593987,-9.410454,-1,0,0,0,0,0,-10,26.62116,5.598895,0,128.156,13.01361,1,0,0,0,0,0,0,284,0,0,29,2,209

228.5332,378.7945,0,-114.791,306.5112,-1,0,0,0,0,2.968821,6.601703,-38.76416,0,2.980051,5.67487,-0.4915393,0,0,0,0,0,10,-7.570812,-8.998719,126.3035,0,-7.593987,-9.245496,-1,0,0,0,0,0,-10,24.56035,6.932094,0,126.6212,18.36662,1,0,0,0,0,0,0,284,0,0,30,2,209

185.5042,420.3723,0,-131.4668,378.7945,-1,0,0,0,0,3.713796,6.990601,-72.23321,0,2.968821,6.601703,-1,0,0,0,0,0,10,-9.671432,-8.963039,146.3669,0,-7.570812,-8.998719,-1,0,0,0,0,0,-10,22.20061,7.748643,0,124.5603,22.74004,1,0,0,0,0,0,0,284,0,0,31,2,209

75.90829,436.0117,0,-174.4958,420.3723,-1,0,0,0,0,4.595219,6.590554,-60.84656,0,4.595219,6.990601,-1,0,0,0,0,0,10,-9.813416,-8.951084,-124.5924,0,-9.813416,-8.963039,-1,0,0,0,0,0,-10,19.76963,8.369843,0,122.2006,25.41865,1,0,0,0,0,0,0,284,0,0,32,2,209

50.74755,439.6762,27.04061,75.90829,436.0117,1,0,0,0,0,4.263283,5.858439,-26.29592,0,4.263283,6.590554,-1,0,0,0,0,0,10,-10.69133,-8.742521,-124.1669,0,-10.69133,-8.951084,1,0,0,0,0,0,-10,17.22527,8.944563,0,119.7696,27.45644,1,0,0,0,0,0,0,284,0,0,33,2,209

41.79274,444.1746,4.435999,50.74755,439.6762,1,0,0,0,0,6.319883,5.467988,-7.819525,0,4.263283,5.858439,-1,0,0,0,0,0,10,-11.84451,-8.563258,-130.542,0,-10.69133,-8.742521,1,0,0,0,0,0,-10,15.83581,9.279409,0,117.2253,29.34174,1,0,0,0,0,0,0,284,0,0,34,2,209

19.45719,413.3671,0,41.79274,444.1746,1,0,0,0,0,6.39224,5.228804,28.47799,0,6.319883,5.467988,-0.5524052,0,0,0,0,0,10,-11.89957,-8.288249,-144.4161,0,-11.84451,-8.563258,1,0,0,0,0,0,-10,12.78432,9.92948,0,115.8358,30.44018,1,0,0,0,0,0,0,284,0,0,35,2,209

313.7527,334.2944,0,19.45719,413.3671,1,0,0,0,0,6.542807,5.658948,60.41593,0,6.542807,5.228804,0.5728176,0,0,0,0,0,10,-12.88759,-8.364981,168.0923,0,-12.88759,-8.288249,1,0,0,0,0,0,-10,7.748019,10.8962,0,112.7843,32.57267,1,0,0,0,0,0,0,284,0,0,36,2,209

282.7471,326.2518,-11.5219,-46.24734,334.2944,-1,0,0,0,0,6.826856,5.71055,58.44628,0,6.826856,5.658948,1,0,0,0,0,0,10,-13.96254,-8.465116,143.8697,0,-13.96254,-8.364981,-1,0,0,0,0,0,-10,6.045871,11.1936,0,107.748,35.74389,1,0,0,0,0,0,0,284,0,0,37,2,209

233.1002,321.6779,-9.415957,-77.25287,326.2518,-1,0,0,0,0,7.326447,5.163951,27.43967,0,6.826856,5.71055,1,0,0,0,0,0,10,-14.97374,-8.582747,119.9767,0,-13.96254,-8.465116,-1,0,0,0,0,0,-10,0.633119,12.16783,0,106.0459,36.7195,1,0,0,0,0,0,0,284,0,0,38,2,209

219.724,456.0123,-2.901058,-126.8998,321.6779,-1,0,0,0,0,8.456705,5.362113,9.680999,0,7.326447,5.163951,0.5406298,0,0,0,0,0,10,-15.89223,-8.479615,118.4559,0,-14.97374,-8.582747,-1,0,0,0,0,0,-10,-1.233637,12.01273,0,100.6331,39.91534,1,0,0,0,0,0,0,284,0,0,39,2,209

214.9913,452.1231,0,-140.276,456.0123,-1,0,0,0,0,8.107681,8.777744,-40.39682,0,8.107681,5.362113,-0.009889037,0,0,0,0,0,10,-15.86906,-3.894529,95.28919,0,-15.86906,-8.479615,-1,0,0,0,0,0,-10,4.762332,-18.56134,0,98.76637,39.40656,1,0,0,0,0,0,0,284,0,0,40,2,209

242.7547,399.0365,0,-145.0087,452.1231,-1,0,0,0,0,9.264246,8.451857,-76.80108,0,9.264246,8.777744,-1,0,0,0,0,0,10,-15.75025,-3.518483,48.47523,0,-15.75025,-3.894529,-1,0,0,0,0,0,-10,10.0693,-17.13114,0,104.7623,-60.88862,1,0,0,0,0,0,0,284,0,0,41,2,209

2.180319,370.8967,0,-117.2453,399.0365,-1,0,0,0,0,9.482195,8.10334,-44.86762,0,9.264246,8.451857,-1,0,0,0,0,0,10,-16.87732,-3.171226,-89.57956,0,-15.75025,-3.518483,-1,0,0,0,0,0,-10,17.33751,-15.33691,0,110.0693,-56.19701,1,0,0,0,0,0,0,284,0,0,42,2,209

3.724924,367.42,14.97735,2.180319,370.8967,1,0,0,0,0,11.06014,7.982946,-28.46711,0,9.482195,8.10334,-1,0,0,0,0,0,10,-16.83674,-3.056145,-97.4089,0,-16.87732,-3.171226,1,0,0,0,0,0,-10,19.49226,-14.7555,0,117.3375,-50.3112,1,0,0,0,0,0,0,284,0,0,43,2,209

3.021954,357.4112,0,3.724924,367.42,1,0,0,0,0,11.15495,7.759803,5.495251,0,11.15495,7.982946,-1,0,0,0,0,0,10,-16.93814,-2.799248,-110.5695,0,-16.93814,-3.056145,1,0,0,0,0,0,-10,23.72491,-13.60174,0,119.4923,-48.40395,1,0,0,0,0,0,0,284,0,0,44,2,209

1.141106,350.993,0,3.021954,357.4112,1,0,0,0,0,11.44285,7.70333,22.74358,0,11.44285,7.759803,-0.1396472,0,0,0,0,0,10,-16.92944,-2.716822,-117.2229,0,-16.92944,-2.799248,1,0,0,0,0,0,-10,25.76743,-13.02953,0,123.7249,-44.61914,1,0,0,0,0,0,0,284,0,0,45,2,209

331.8791,315.5126,0,1.141106,350.993,1,0,0,0,0,12.31152,7.593569,70.71831,0,11.44285,7.70333,0.3950511,0,0,0,0,0,10,-16.81933,-2.451903,-158.9229,0,-16.92944,-2.716822,1,0,0,0,0,0,-10,31.46709,-11.51941,0,125.7674,-42.74207,1,0,0,0,0,0,0,284,0,0,46,2,209

232.7867,279.7892,-6.648669,-28.12091,315.5126,-1,0,0,0,0,13.71347,7.368712,69.94941,0,12.31152,7.593569,1,0,0,0,0,0,10,-17.78994,-2.400708,95.05392,0,-16.81933,-2.451903,1,0,0,0,0,0,-10,34.72728,-10.68775,0,131.4671,-37.78829,1,0,0,0,0,0,0,284,0,0,47,2,209

208.8306,242.4451,0,-127.2133,279.7892,-1,0,0,0,0,13.81951,7.049566,45.47778,0,13.81951,7.368712,1,0,0,0,0,0,10,-17.91452,-2.390233,65.23414,0,-17.91452,-2.400708,-1,0,0,0,0,0,-10,37.64396,-9.801531,0,134.7273,-35.0601,1,0,0,0,0,0,0,284,0,0,48,2,209

204.8062,222.839,0,-151.1694,242.4451,-1,0,0,0,0,15.199,6.874297,32.71205,0,15.199,7.049566,1,0,0,0,0,0,10,-18.83879,-2.371611,57.61229,0,-18.83879,-2.390233,-1,0,0,0,0,0,-10,39.03787,-9.294991,0,137.644,-32.15294,1,0,0,0,0,0,0,284,0,0,49,2,209

