total,roll,pitch,yaw,,,,,NewTotal
292297.7513,963.889093,548.9282863,875380.4366, Mag 8, Accel 11, lowestaccel 3, lowestMag 8,1546.309249
218960.4354,505.3646066,1128.064852,655247.8768, Mag 9, Accel 1, lowestaccel 3, lowestMag 8,2071.120732
175511.084,399.7453888,727.7056415,525405.8009, Mag 9, Accel 2, lowestaccel 3, lowestMag 8,1391.367504
132302.8728,358.7062462,623.8063165,395926.1058, Mag 9, Accel 3, lowestaccel 3, lowestMag 9,1204.739159
132265.4079,368.2270312,584.8991311,395843.0975, Mag 9, Accel 4, lowestaccel 4, lowestMag 9,1153.51897
175125.4147,411.1417935,566.0667894,524399.0355, Mag 9, Accel 5, lowestaccel 4, lowestMag 9,1157.456529
175135.7923,476.149149,556.1478699,524375.08, Mag 9, Accel 6, lowestaccel 4, lowestMag 9,1191.333667
175215.3442,556.4792209,551.5683599,524537.985, Mag 9, Accel 7, lowestaccel 4, lowestMag 9,1244.711955
255645.0327,647.9380966,550.8187099,765736.3412, Mag 9, Accel 8, lowestaccel 4, lowestMag 9,1312.181637
255628.2118,747.7657159,553.0643502,765583.8053, Mag 9, Accel 9, lowestaccel 4, lowestMag 9,1390.420812
255641.8055,854.0359914,557.7356975,765513.6449, Mag 9, Accel 10, lowestaccel 4, lowestMag 9,1477.13054
255681.3484,965.3394581,564.3922441,765514.3135, Mag 9, Accel 11, lowestaccel 4, lowestMag 9,1570.59296
218528.66,532.9226169,1160.55673,653892.5006, Mag 10, Accel 1, lowestaccel 4, lowestMag 9,2140.527058
175288.4195,417.103121,744.0485272,524704.1068, Mag 10, Accel 2, lowestaccel 4, lowestMag 9,1428.900131
132195.4318,370.3993807,638.9010802,395576.995, Mag 10, Accel 3, lowestaccel 3, lowestMag 10,1236.151156
132176.8273,377.1439305,600.283732,395553.0543, Mag 10, Accel 4, lowestaccel 4, lowestMag 10,1183.283546
175080.5705,418.470073,581.7679554,524241.4736, Mag 10, Accel 5, lowestaccel 4, lowestMag 10,1186.504488
175077.5499,482.3549598,572.0330332,524178.2617, Mag 10, Accel 6, lowestaccel 4, lowestMag 10,1219.81577
175131.8619,561.7342726,567.5219056,524266.3294, Mag 10, Accel 7, lowestaccel 4, lowestMag 10,1272.583563
217625.4551,652.2919887,566.7563221,651657.3169, Mag 10, Accel 8, lowestaccel 4, lowestMag 10,1339.353475
217676.0673,751.2181856,568.9260369,651708.0577, Mag 10, Accel 9, lowestaccel 4, lowestMag 10,1416.802695
217760.8775,856.5680594,573.4785914,651852.5858, Mag 10, Accel 10, lowestaccel 4, lowestMag 10,1502.643932
217873.6552,966.9272714,579.9847913,652074.0534, Mag 10, Accel 11, lowestaccel 4, lowestMag 10,1595.172641
260610.9293,563.7534216,1192.809163,780076.2252, Mag 11, Accel 1, lowestaccel 4, lowestMag 10,2212.02881
136150.0933,435.5044738,760.6225002,407254.153, Mag 11, Accel 2, lowestaccel 4, lowestMag 10,1467.562106
93072.43128,382.5355253,654.2393675,278180.5189, Mag 11, Accel 3, lowestaccel 3, lowestMag 11,1268.260695
93038.25248,386.289249,615.8717286,278112.5965, Mag 11, Accel 4, lowestaccel 4, lowestMag 11,1213.52453
135969.928,425.932772,597.6380474,406886.2131, Mag 11, Accel 5, lowestaccel 4, lowestMag 11,1215.90665
135986.5371,488.6492427,588.0634172,406882.8988, Mag 11, Accel 6, lowestaccel 4, lowestMag 11,1248.582058
136074.472,567.0549975,583.6049854,407072.756, Mag 11, Accel 7, lowestaccel 4, lowestMag 11,1300.698726
178639.1132,656.7023441,582.8132434,534677.8239, Mag 11, Accel 8, lowestaccel 4, lowestMag 11,1366.746623
217766.2478,754.726488,584.8999938,651959.1168, Mag 11, Accel 9, lowestaccel 4, lowestMag 11,1443.394857
217826.3509,859.1613105,589.3284341,652030.563, Mag 11, Accel 10, lowestaccel 4, lowestMag 11,1528.363634
217907.5535,968.5859052,595.6805,652158.3941, Mag 11, Accel 11, lowestaccel 4, lowestMag 11,1619.960179
221012.1806,597.7570006,1224.564384,661214.2205, Mag 12, Accel 1, lowestaccel 4, lowestMag 11,2285.164327
178350.2908,454.8712878,777.3738121,533818.6272, Mag 12, Accel 2, lowestaccel 4, lowestMag 11,1507.214184
135726.2142,395.0689309,669.7991125,406113.7746, Mag 12, Accel 3, lowestaccel 4, lowestMag 11,1301.000367
92673.1639,395.6319053,631.6491374,276992.2107, Mag 12, Accel 4, lowestaccel 4, lowestMag 12,1244.197635
