7211.735532,5753.643681,3122.309903,12759.25301, Mag 14, Accel 9, lowestaccel 1, lowestMag 9,
5509.093179,3719.889826,3122.705898,9684.683812, Mag 2, Accel 3, lowestaccel 1, lowestMag 2,
5994.44633,3718.222274,3122.796449,11142.32027, Mag 1, Accel 3, lowestaccel 1, lowestMag 1,
5538.671855,3720.050317,3123.180991,9772.784258, Mag 3, Accel 3, lowestaccel 1, lowestMag 3,
6949.560819,5625.060738,3123.287191,12100.33453, Mag 5, Accel 8, lowestaccel 1, lowestMag 5,
5556.568229,3719.793784,3124.385227,9825.525675, Mag 4, Accel 3, lowestaccel 1, lowestMag 4,
7350.22496,5860.209034,3125.791617,13064.67423, Mag 23, Accel 10, lowestaccel 1, lowestMag 9,
5570.933487,3719.502957,3126.186087,9867.111417, Mag 5, Accel 3, lowestaccel 1, lowestMag 5,
7206.069065,5755.811464,3127.271492,12735.12424, Mag 13, Accel 9, lowestaccel 1, lowestMag 9,
5583.017772,3719.326253,3128.652921,9901.074143, Mag 6, Accel 3, lowestaccel 1, lowestMag 6,
6890.844308,5628.731341,3129.51256,11914.28902, Mag 4, Accel 8, lowestaccel 1, lowestMag 4,
7349.315913,5861.906499,3130.277757,13055.76348, Mag 22, Accel 10, lowestaccel 1, lowestMag 9,
5592.763777,3719.590104,3131.459297,9927.24193, Mag 7, Accel 3, lowestaccel 1, lowestMag 7,
7199.57223,5758.131846,3132.295651,12708.28919, Mag 12, Accel 9, lowestaccel 1, lowestMag 9,
5600.492792,3720.019122,3134.461482,9946.997774, Mag 8, Accel 3, lowestaccel 1, lowestMag 8,
7348.292537,5863.627765,3134.806736,13046.44311, Mag 21, Accel 10, lowestaccel 1, lowestMag 9,
6788.614451,5632.536493,3136.038376,11597.26848, Mag 3, Accel 8, lowestaccel 1, lowestMag 3,
7192.543806,5760.54655,3137.38967,12679.6952, Mag 11, Accel 9, lowestaccel 1, lowestMag 9,
5606.789057,3720.577878,3137.55502,9962.234272, Mag 9, Accel 3, lowestaccel 1, lowestMag 9,
7346.779852,5865.375077,3139.37842,13035.58606, Mag 20, Accel 10, lowestaccel 1, lowestMag 9,
5611.837107,3721.439425,3140.783358,9973.288538, Mag 10, Accel 3, lowestaccel 1, lowestMag 9,
7185.960082,5763.071103,3142.615626,12652.19352, Mag 10, Accel 9, lowestaccel 1, lowestMag 9,
6617.960648,5636.200118,3142.925308,11074.75652, Mag 2, Accel 8, lowestaccel 1, lowestMag 2,
7344.860712,5867.152286,3143.99292,13023.43693, Mag 19, Accel 10, lowestaccel 1, lowestMag 9,
5616.135402,3722.420704,3144.040864,9981.944637, Mag 11, Accel 3, lowestaccel 1, lowestMag 9,
5619.592376,3723.565706,3147.214379,9987.997043, Mag 12, Accel 3, lowestaccel 1, lowestMag 9,
