Total,Roll,Pitch,Yaw,,,,,new total
Total: 6595.5664039753,5636.545503,3143.637369,11006.51634, Mag 19, Accel 80, lowestaccel 9, lowestMag 19,12460.81733
Total: 5387.9158334731,3467.629201,3143.783893,9552.334406, Mag 34, Accel 27, lowestaccel 7, lowestMag 34,10363.66751
Total: 6556.61203306635,5621.397575,3143.852695,10904.58583, Mag 12, Accel 79, lowestaccel 10, lowestMag 12,12437.42179
Total: 5540.35565203081,3372.307262,3143.901903,10104.85779, Mag 12, Accel 26, lowestaccel 10, lowestMag 12,10333.36612
Total: 3809.06403809398,1320.38585,3143.906608,6962.899657, Mag 54, Accel 7, lowestaccel 7, lowestMag 54,8172.450446
Total: 5463.02139756838,3556.266327,3143.910813,9688.887052, Mag 58, Accel 28, lowestaccel 7, lowestMag 58,10457.35003
Total: 5388.39889235709,3467.718818,3144.090126,9553.387734, Mag 35, Accel 27, lowestaccel 7, lowestMag 35,10364.46596
Total: 5460.639347016,3372.718855,3144.185675,9865.013511, Mag 13, Accel 26, lowestaccel 10, lowestMag 13,10310.31967
Total: 6725.90303443314,5651.339155,3144.24543,11382.12452, Mag 25, Accel 81, lowestaccel 8, lowestMag 25,12512.90855
Total: 5463.85602914147,3556.338289,3144.26156,9690.968238, Mag 59, Accel 28, lowestaccel 7, lowestMag 59,10458.3244
Total: 6572.46993900232,5636.885622,3144.353796,10936.1704, Mag 18, Accel 80, lowestaccel 9, lowestMag 18,12455.52169
Total: 8475.46501598504,5605.524588,3144.392963,16676.4775, Mag 5, Accel 78, lowestaccel 8, lowestMag 5,13001.40581
Total: 5388.75998152872,3467.805822,3144.399601,9554.074521, Mag 36, Accel 27, lowestaccel 7, lowestMag 36,10365.23189
Total: 5418.06471135959,3373.093658,3144.477059,9736.623417, Mag 14, Accel 26, lowestaccel 10, lowestMag 14,10298.40075
Total: 6625.79517455792,5621.687398,3144.611413,11111.08671, Mag 11, Accel 79, lowestaccel 10, lowestMag 11,12459.85016
Total: 5464.67939718471,3556.41096,3144.621377,9693.005854, Mag 60, Accel 28, lowestaccel 7, lowestMag 60,10459.3132
Total: 5389.14059964583,3467.892708,3144.714529,9554.814561, Mag 37, Accel 27, lowestaccel 7, lowestMag 37,10366.01395
Total: 5391.73670911946,3373.434959,3144.772538,9657.00263, Mag 15, Accel 26, lowestaccel 9, lowestMag 15,10291.3368
Total: 3939.762345275,1319.511655,3144.807524,7354.967857, Mag 37, Accel 8, lowestaccel 7, lowestMag 37,8212.672323
Total: 6708.91494986554,5651.706721,3144.931783,11330.10635, Mag 24, Accel 81, lowestaccel 8, lowestMag 24,12509.41025
Total: 5389.42171633005,3467.977475,3145.034346,9555.253328, Mag 38, Accel 27, lowestaccel 7, lowestMag 38,10366.77375
Total: 6549.35894995264,5637.219426,3145.075548,10865.78188, Mag 17, Accel 80, lowestaccel 9, lowestMag 17,12450.22677
Total: 5372.74603862095,3373.745322,3145.076069,9599.416724, Mag 16, Accel 26, lowestaccel 9, lowestMag 16,10286.4646
Total: 9078.35373234229,5605.839318,3145.137482,18484.0844, Mag 4, Accel 78, lowestaccel 8, lowestMag 4,13183.93879
Total: 5389.8064962603,3468.061381,3145.359856,9555.998252, Mag 39, Accel 27, lowestaccel 7, lowestMag 39,10367.57478
Total: 6731.80596318282,5621.971379,3145.375371,11428.07114, Mag 10, Accel 79, lowestaccel 9, lowestMag 10,12493.3321
Total: 5358.66402179946,3374.0294,3145.395006,9556.567659, Mag 17, Accel 26, lowestaccel 9, lowestMag 17,10283.07324
Total: 6816.01368123697,5665.980477,3145.601714,11636.45885, Mag 30, Accel 82, lowestaccel 8, lowestMag 30,12554.23174
Total: 6691.17988721596,5652.070684,3145.622357,11275.84662, Mag 23, Accel 81, lowestaccel 8, lowestMag 23,12505.69299
Total: 5390.09970351389,3468.144968,3145.688736,9556.465407, Mag 40, Accel 27, lowestaccel 7, lowestMag 40,10368.35448
Total: 5348.05637018385,3374.288374,3145.717743,9524.162994, Mag 18, Accel 26, lowestaccel 9, lowestMag 18,10280.71132
Total: 6528.15530930409,5637.546796,3145.802081,10801.11705, Mag 16, Accel 80, lowestaccel 9, lowestMag 16,12445.50798
Total: 9774.85026709523,5606.177002,3145.873563,20572.50024, Mag 3, Accel 78, lowestaccel 8, lowestMag 3,13394.55645
Total: 5390.48637268122,3468.22768,3146.023558,9557.207879, Mag 41, Accel 27, lowestaccel 7, lowestMag 41,10369.17282
Total: 5340.07445726485,3374.52627,3146.042342,9499.65476, Mag 19, Accel 26, lowestaccel 9, lowestMag 19,10279.1238
Total: 6903.65432041719,5622.250804,3146.142221,11942.56994, Mag 9, Accel 79, lowestaccel 9, lowestMag 9,12546.56716
Total: 6802.06686935143,5666.359214,3146.273923,11593.56747, Mag 29, Accel 82, lowestaccel 8, lowestMag 29,12551.62789
Total: 6672.330069992,5652.431057,3146.317754,11218.2414, Mag 22, Accel 81, lowestaccel 8, lowestMag 22,12501.6476
Total: 5390.9059234924,3468.331212,3146.362,9558.024558, Mag 42, Accel 27, lowestaccel 7, lowestMag 42,10370.02455
Total: 5334.15884998607,3374.745458,3146.368895,9481.362198, Mag 20, Accel 26, lowestaccel 8, lowestMag 20,10278.14492
Total: 4255.56066523705,1375.272848,3146.405217,8245.003931, Mag 22, Accel 9, lowestaccel 8, lowestMag 22,8355.05639
Total: 6513.14912062961,5637.867806,3146.533845,10755.04571, Mag 15, Accel 80, lowestaccel 9, lowestMag 15,12442.65329
Total: 10568.4992600395,5606.536951,3146.597331,22952.3635, Mag 2, Accel 78, lowestaccel 7, lowestMag 2,13634.31427
Total: 5330.10209107434,3374.948953,3146.698432,9468.658889, Mag 21, Accel 26, lowestaccel 8, lowestMag 21,10277.71681
Total: 5391.29724091251,3468.434309,3146.705656,9558.751758, Mag 43, Accel 27, lowestaccel 7, lowestMag 43,10370.87737
Total: 7165.80261147954,5622.529165,3146.910413,12727.96826, Mag 8, Accel 79, lowestaccel 9, lowestMag 8,12626.8939
Total: 6787.37753247803,5666.736553,3146.949683,11548.44636, Mag 28, Accel 82, lowestaccel 8, lowestMag 28,12548.8069
Total: 5763.42863031695,1472.196174,3146.977204,12671.11251, Mag 9, Accel 10, lowestaccel 9, lowestMag 9,8886.042216
Total: 6652.31224873782,5652.787507,3147.025147,11157.12409, Mag 21, Accel 81, lowestaccel 8, lowestMag 21,12497.27146
Total: 5327.93946769548,3375.138617,3147.028993,9461.650793, Mag 22, Accel 26, lowestaccel 8, lowestMag 22,10277.84782
Total: 5391.76520960956,3468.53664,3147.053481,9559.705508, Mag 44, Accel 27, lowestaccel 7, lowestMag 44,10371.76049
Total: 6508.48963054473,5638.181829,3147.271173,10740.01589, Mag 14, Accel 80, lowestaccel 10, lowestMag 14,12442.90758
Total: 11455.2805742607,5606.912202,3147.307076,25611.62244, Mag 1, Accel 78, lowestaccel 7, lowestMag 1,13901.99738
Total: 5327.23006388561,3375.315904,3147.362841,9459.011446, Mag 23, Accel 26, lowestaccel 8, lowestMag 23,10278.41114
Total: 5392.28971004326,3468.639724,3147.405868,9560.823538, Mag 45, Accel 27, lowestaccel 7, lowestMag 45,10372.66984
Total: 3804.88170114912,1321.435141,3147.407307,6945.802655, Mag 55, Accel 7, lowestaccel 7, lowestMag 55,8178.686507
Total: 6771.85828199849,5667.111668,3147.629006,11500.83417, Mag 27, Accel 82, lowestaccel 8, lowestMag 27,12545.74193
Total: 7524.45264537867,5622.809442,3147.676641,13802.87185, Mag 7, Accel 79, lowestaccel 9, lowestMag 7,12736.16897
Total: 5327.31689597543,3375.48332,3147.698547,9458.768821, Mag 24, Accel 26, lowestaccel 8, lowestMag 24,10279.20896
Total: 6630.86399908382,5653.13972,3147.736729,11091.71555, Mag 20, Accel 81, lowestaccel 8, lowestMag 20,12492.47076
Total: 5392.80394139053,3468.742117,3147.766624,9561.903083, Mag 46, Accel 27, lowestaccel 7, lowestMag 46,10373.59146
Total: 8510.4988659864,3272.445468,3147.898123,19111.15301, Mag 4, Accel 25, lowestaccel 8, lowestMag 4,11152.11247
Total: 7862.50418613441,3272.983044,3147.95749,17166.57202, Mag 5, Accel 25, lowestaccel 8, lowestMag 5,10958.25692
Total: 9269.25320397826,3271.981181,3147.958466,21387.81996, Mag 3, Accel 25, lowestaccel 8, lowestMag 3,11379.48199
Total: 6526.35934128738,5638.488937,3148.01398,10792.57511, Mag 13, Accel 80, lowestaccel 10, lowestMag 13,12449.92551
Total: 5327.76102975448,3375.641225,3148.038138,9459.603726, Mag 25, Accel 26, lowestaccel 8, lowestMag 25,10280.11375
Total: 7314.20185264613,3273.571471,3148.106149,15520.92794, Mag 6, Accel 25, lowestaccel 9, lowestMag 6,10794.51942
Total: 5393.32064602372,3468.844242,3148.146678,9562.971018, Mag 47, Accel 27, lowestaccel 7, lowestMag 47,10374.55028
Total: 10143.7740647938,3271.59157,3148.166669,24011.56396, Mag 2, Accel 25, lowestaccel 7, lowestMag 2,11641.92215
Total: 3929.23069427169,1320.712759,3148.203198,7318.776125, Mag 38, Accel 8, lowestaccel 7, lowestMag 38,8216.925492
Total: 6852.46611094926,3274.187718,3148.320466,14134.89015, Mag 7, Accel 25, lowestaccel 9, lowestMag 7,10656.89889
Total: 5328.35867246622,3375.792757,3148.380299,9460.902961, Mag 26, Accel 26, lowestaccel 8, lowestMag 26,10281.06438
Total: 7964.58715771292,5623.097,3148.436465,15122.22801, Mag 6, Accel 79, lowestaccel 9, lowestMag 6,12869.88303
Total: 6608.3635424636,5653.486574,3148.452843,11023.15121, Mag 19, Accel 81, lowestaccel 9, lowestMag 19,12487.35872
Total: 11127.1580261503,3271.265031,3148.527157,26961.68189, Mag 1, Accel 25, lowestaccel 7, lowestMag 1,11937.36103
Total: 5393.95088054324,3468.947242,3148.532051,9564.373349, Mag 48, Accel 27, lowestaccel 7, lowestMag 48,10375.55395
Total: 6464.3086785215,3274.803736,3148.584082,12969.53822, Mag 8, Accel 25, lowestaccel 9, lowestMag 8,10541.44535
Total: 5328.91201985183,3375.937272,3148.724977,9462.07381, Mag 27, Accel 26, lowestaccel 8, lowestMag 27,10282.00088
Total: 6567.14553254013,5638.788871,3148.762295,10913.88543, Mag 12, Accel 80, lowestaccel 10, lowestMag 12,12463.82312
Total: 6137.9161967363,3275.40238,3148.886084,11989.46013, Mag 9, Accel 25, lowestaccel 9, lowestMag 9,10444.58032
Total: 5394.57862982061,3469.048711,3148.919145,9565.768033, Mag 49, Accel 27, lowestaccel 7, lowestMag 49,10376.55893
Total: 6739.06502552083,5667.856106,3148.998776,11400.34019, Mag 25, Accel 82, lowestaccel 8, lowestMag 25,12539.10207
Total: 5329.40753678312,3376.076027,3149.073845,9463.072739, Mag 28, Accel 26, lowestaccel 8, lowestMag 28,10282.92339
Total: 6585.04004521539,5653.828287,3149.173737,10952.11811, Mag 18, Accel 81, lowestaccel 9, lowestMag 18,12482.00474
Total: 8480.97035330052,5623.397879,3149.184698,16670.32848, Mag 5, Accel 79, lowestaccel 8, lowestMag 5,13026.46034
Total: 5863.00486311859,3275.970414,3149.21539,11163.82878, Mag 10, Accel 25, lowestaccel 9, lowestMag 10,10363.18703
Total: 5395.20466176242,3469.150885,3149.312227,9567.150874, Mag 50, Accel 27, lowestaccel 7, lowestMag 50,10377.57534
Total: 5329.80539663591,3376.212648,3149.426483,9463.777059, Mag 29, Accel 26, lowestaccel 8, lowestMag 29,10283.82205
Total: 6635.95454609748,5639.082376,3149.515876,11119.26539, Mag 11, Accel 80, lowestaccel 10, lowestMag 11,12486.13243
Total: 5656.29801924361,3276.500948,3149.570467,10542.82264, Mag 11, Accel 25, lowestaccel 10, lowestMag 11,10302.27405
Total: 6722.02490681985,5668.224517,3149.689632,11348.16057, Mag 24, Accel 82, lowestaccel 8, lowestMag 24,12535.59739
Total: 5395.82298618449,3469.253922,3149.707739,9568.507298, Mag 51, Accel 27, lowestaccel 7, lowestMag 51,10378.59474
Total: 5330.15382957546,3376.349325,3149.783009,9464.329154, Mag 30, Accel 26, lowestaccel 8, lowestMag 30,10284.71333
Total: 4228.16542554023,1376.371953,3149.820542,8158.303782, Mag 23, Accel 9, lowestaccel 8, lowestMag 23,8354.206219
Total: 6561.70000670709,5654.164168,3149.899637,10881.03622, Mag 17, Accel 81, lowestaccel 9, lowestMag 17,12476.65065
Total: 9083.03539426335,5623.717101,3149.920886,18475.46819, Mag 4, Accel 79, lowestaccel 8, lowestMag 4,13208.73398
Total: 5504.79619161726,3276.993032,3149.947798,10087.44775, Mag 12, Accel 25, lowestaccel 10, lowestMag 12,10257.9341
Total: 5396.42333984859,3469.35626,3150.105827,9569.807932, Mag 52, Accel 27, lowestaccel 7, lowestMag 52,10379.61308
Total: 5330.38385724135,3376.483521,3150.143673,9464.524378, Mag 31, Accel 26, lowestaccel 8, lowestMag 31,10285.57495
Total: 5330.38385724135,3376.483521,3150.143673,9464.524378, Mag 31, Accel 26, lowestaccel 8, lowestMag 31,10285.57495
Total: 6829.30204373294,5682.092236,3150.24961,11655.56429, Mag 30, Accel 83, lowestaccel 8, lowestMag 30,12579.93866
Total: 6741.57553052419,5639.37044,3150.274055,11435.0821, Mag 1, Accel 8, lowestaccel 1, lowestMag 1,12519.48972
Total: 6741.57553052419,5639.37044,3150.274055,11435.0821, Mag 10, Accel 80, lowestaccel 9, lowestMag 10,12519.48972
Total: 5421.08754248494,3277.445892,3150.337322,9835.479414, Mag 13, Accel 25, lowestaccel 10, lowestMag 13,10233.92389
Total: 6704.22631170368,5668.589695,3150.384061,11293.70518, Mag 23, Accel 82, lowestaccel 8, lowestMag 23,12531.86936
Total: 5496.94887953986,1473.559818,3150.401134,11866.88569, Mag 10, Accel 10, lowestaccel 9, lowestMag 10,8813.694672
Total: 5330.52140137856,3376.614051,3150.507693,9464.44246, Mag 32, Accel 26, lowestaccel 7, lowestMag 32,10286.41228
Total: 5397.12413646596,3469.459779,3150.508114,9571.404516, Mag 53, Accel 27, lowestaccel 7, lowestMag 53,10380.67048
Total: 6540.21657683464,5654.493891,3150.63034,10815.5255, Mag 16, Accel 81, lowestaccel 9, lowestMag 16,12471.85773
Total: 9778.45973894336,5624.058668,3150.647646,20560.6729, Mag 3, Accel 79, lowestaccel 8, lowestMag 3,13419.01538
Total: 5377.37035432117,3277.859865,3150.735074,9703.516124, Mag 14, Accel 25, lowestaccel 10, lowestMag 14,10221.89564
Total: 5330.60967862676,3376.742158,3150.876216,9464.210662, Mag 33, Accel 26, lowestaccel 7, lowestMag 33,10287.24144
Total: 3800.91940032919,1322.489038,3150.895722,6929.373441, Mag 56, Accel 7, lowestaccel 7, lowestMag 56,8184.968923
Total: 5397.80827630075,3469.562678,3150.914606,9572.947546, Mag 54, Accel 27, lowestaccel 7, lowestMag 54,10381.73038
Total: 6815.29703748341,5682.471203,3150.918266,11612.50164, Mag 29, Accel 83, lowestaccel 8, lowestMag 29,12577.31078
Total: 6912.07472084249,5639.654906,3151.038747,11945.53051, Mag 9, Accel 80, lowestaccel 9, lowestMag 9,12572.31996
Total: 6685.26589494818,5668.951004,3151.083057,11235.76362, Mag 22, Accel 82, lowestaccel 8, lowestMag 22,12527.79838
Total: 5349.94664117734,3278.240236,3151.137262,9620.462426, Mag 15, Accel 25, lowestaccel 9, lowestMag 15,10214.73698
Total: 5330.66285945564,3376.868603,3151.249263,9463.870712, Mag 34, Accel 26, lowestaccel 7, lowestMag 34,10288.06734
Total: 5398.47276995894,3469.666831,3151.323176,9574.428303, Mag 55, Accel 27, lowestaccel 7, lowestMag 55,10382.78933
Total: 10570.778129744,5624.421015,3151.358117,22936.55526, Mag 2, Accel 79, lowestaccel 7, lowestMag 2,13658.35067
Total: 6524.78749382085,5654.817347,3151.366567,10768.17857, Mag 15, Accel 81, lowestaccel 9, lowestMag 15,12468.8866
Total: 5329.77559079627,3278.589935,3151.544709,9559.192128, Mag 16, Accel 25, lowestaccel 9, lowestMag 16,10209.73957
Total: 3919.29997874753,1321.917344,3151.577255,7284.405337, Mag 39, Accel 8, lowestaccel 7, lowestMag 39,8221.320653
Total: 6800.50936336853,5682.848783,3151.594657,11567.08465, Mag 28, Accel 83, lowestaccel 8, lowestMag 28,12574.46168
Total: 5330.60341022261,3376.999289,3151.626787,9463.184155, Mag 35, Accel 26, lowestaccel 7, lowestMag 35,10288.87135
Total: 5399.13986418108,3469.770385,3151.734901,9575.914307, Mag 56, Accel 27, lowestaccel 7, lowestMag 56,10383.85458
Total: 6665.13094417211,5669.308448,3151.785808,11174.29858, Mag 21, Accel 82, lowestaccel 8, lowestMag 21,12523.37908
Total: 7173.49216328313,5639.937868,3151.81108,12728.72754, Mag 8, Accel 80, lowestaccel 9, lowestMag 8,12652.439
Total: 5314.47907667454,3278.911753,3151.954386,9512.571091, Mag 17, Accel 25, lowestaccel 9, lowestMag 17,10206.18646
Total: 5330.61024753967,3377.143322,3152.008015,9462.679406, Mag 36, Accel 26, lowestaccel 7, lowestMag 36,10289.71296
Total: 11456.0183076005,5624.797904,3152.057769,25591.19925, Mag 1, Accel 79, lowestaccel 7, lowestMag 1,13925.55358
Total: 6519.62581771627,5655.134021,3152.107769,10751.63566, Mag 14, Accel 81, lowestaccel 10, lowestMag 14,12468.99972
Total: 5399.78214029932,3469.875241,3152.149048,9577.322132, Mag 57, Accel 27, lowestaccel 7, lowestMag 57,10384.91803
Total: 6784.8898041126,5683.224714,3152.28114,11519.16356, Mag 27, Accel 83, lowestaccel 8, lowestMag 27,12571.38088
Total: 5302.61383717911,3279.209716,3152.365562,9476.266234, Mag 18, Accel 25, lowestaccel 9, lowestMag 18,10203.64649
Total: 5330.49815733975,3377.286509,3152.393547,9461.814416, Mag 37, Accel 26, lowestaccel 7, lowestMag 37,10290.52639
Total: 6643.56421902852,5669.661843,3152.493081,11108.53773, Mag 20, Accel 82, lowestaccel 8, lowestMag 20,12518.53559
Total: 5400.43361004292,3469.979389,3152.566752,9578.754689, Mag 58, Accel 27, lowestaccel 7, lowestMag 58,10385.99042
Total: 7530.91256496167,5640.223095,3152.58123,13799.93337, Mag 7, Accel 80, lowestaccel 9, lowestMag 7,12761.35658
Total: 5293.46322438289,3279.485789,3152.779103,9448.124781, Mag 19, Accel 25, lowestaccel 9, lowestMag 19,10201.90789
Total: 5330.47989552278,3377.428882,3152.784359,9461.226446, Mag 38, Accel 26, lowestaccel 7, lowestMag 38,10291.37736
Total: 6537.03247407548,5655.443978,3152.854706,10802.79874, Mag 13, Accel 81, lowestaccel 10, lowestMag 13,12475.88887
Total: 5401.1214635871,3470.085155,3152.985995,9580.293241, Mag 59, Accel 27, lowestaccel 7, lowestMag 59,10387.07795
Total: 5330.35533795008,3377.56903,3153.177872,9460.319113, Mag 39, Accel 26, lowestaccel 7, lowestMag 39,10292.19978
Total: 5286.36203597889,3279.74176,3153.193012,9426.151336, Mag 20, Accel 25, lowestaccel 8, lowestMag 20,10200.76874
Total: 4202.98708522498,1377.50515,3153.197863,8078.258243, Mag 24, Accel 9, lowestaccel 8, lowestMag 24,8353.976185
Total: 6620.92461876399,5670.010332,3153.214861,11039.54866, Mag 19, Accel 82, lowestaccel 9, lowestMag 19,12513.39389
Total: 7970.61191470057,5640.515772,3153.345191,15117.97478, Mag 6, Accel 80, lowestaccel 9, lowestMag 6,12894.95205
Total: 5401.81601737604,3470.191105,3153.408194,9581.848754, Mag 60, Accel 27, lowestaccel 7, lowestMag 60,10388.17326
Total: 5330.33240046523,3377.709275,3153.576787,9459.711139, Mag 40, Accel 26, lowestaccel 7, lowestMag 40,10293.06304
Total: 6577.46789204881,5655.747379,3153.607142,10923.04915, Mag 12, Accel 81, lowestaccel 10, lowestMag 12,12489.69184
Total: 5281.02354160289,3279.983085,3153.608161,9409.479379, Mag 21, Accel 25, lowestaccel 8, lowestMag 21,10200.14904
Total: 6751.96923095933,5683.970138,3153.664575,11418.27298, Mag 25, Accel 83, lowestaccel 8, lowestMag 25,12564.72957
Total: 5270.57987565045,1474.868107,3153.831981,11183.03954, Mag 11, Accel 10, lowestaccel 10, lowestMag 11,8753.349212
Total: 9244.53220628961,3172.432559,3153.832444,21407.33162, Mag 3, Accel 24, lowestaccel 8, lowestMag 3,11303.58735
Total: 8484.84946054438,3172.95946,3153.868629,19127.72029, Mag 4, Accel 24, lowestaccel 8, lowestMag 4,11076.1728
Total: 6597.38364130882,5670.353467,3153.942441,10967.85502, Mag 18, Accel 82, lowestaccel 9, lowestMag 18,12507.9885
Total: 10120.5070953369,3171.97884,3153.944632,24035.59781, Mag 2, Accel 24, lowestaccel 7, lowestMag 2,11566.23
Total: 5330.29437054523,3377.849112,3153.980011,9459.053989, Mag 41, Accel 26, lowestaccel 7, lowestMag 41,10293.92962
Total: 7836.33810174729,3173.554645,3154.024188,17181.43547, Mag 5, Accel 24, lowestaccel 8, lowestMag 5,10882.3911
Total: 5277.46828663584,3280.21132,3154.024498,9398.169042, Mag 22, Accel 25, lowestaccel 8, lowestMag 22,10200.05609
Total: 8486.39204173605,5640.821332,3154.098131,16664.25666, Mag 5, Accel 80, lowestaccel 8, lowestMag 5,13051.36113
Total: 11105.8614580379,3171.579733,3154.210243,26991.7944, Mag 1, Accel 24, lowestaccel 7, lowestMag 1,11862.02169
Total: 7287.79492749847,3174.199355,3154.269262,15534.91617, Mag 6, Accel 24, lowestaccel 9, lowestMag 6,10718.80956
Total: 3797.21210516026,1323.579992,3154.364884,6913.691439, Mag 57, Accel 7, lowestaccel 7, lowestMag 57,8191.320905
Total: 6734.88198140617,5684.338881,3154.36628,11365.94078, Mag 24, Accel 83, lowestaccel 8, lowestMag 24,12561.23163
Total: 6645.91532680858,5656.044572,3154.372847,11127.32856, Mag 11, Accel 81, lowestaccel 10, lowestMag 11,12511.91867
Total: 5330.24898212185,3377.988916,3154.386594,9458.371436, Mag 42, Accel 26, lowestaccel 7, lowestMag 42,10294.80036
Total: 5275.41356605263,3280.425687,3154.443047,9391.371964, Mag 23, Accel 25, lowestaccel 8, lowestMag 23,10200.40641
Total: 6825.97425414323,3174.867412,3154.581499,14148.47385, Mag 7, Accel 24, lowestaccel 9, lowestMag 7,10581.39105
Total: 6573.83689815383,5670.691261,3154.674735,10896.1447, Mag 17, Accel 82, lowestaccel 9, lowestMag 17,12502.58607
Total: 5330.33587623018,3378.12635,3154.797044,9458.084235, Mag 43, Accel 26, lowestaccel 7, lowestMag 43,10295.71623
Total: 9087.64015455184,5641.144884,3154.835654,18466.93993, Mag 4, Accel 80, lowestaccel 8, lowestMag 4,13233.3957
Total: 5274.34831647825,3280.631099,3154.863422,9387.550428, Mag 24, Accel 25, lowestaccel 8, lowestMag 24,10201.04988
Total: 3909.99689107882,1323.125888,3154.9282,7251.936585, Mag 40, Accel 8, lowestaccel 7, lowestMag 40,8225.863358
Total: 6437.80124502676,3175.535002,3154.946036,12982.9227, Mag 8, Accel 24, lowestaccel 9, lowestMag 8,10466.16584
Total: 6842.42217161459,5697.814104,3155.055038,11674.39737, Mag 30, Accel 84, lowestaccel 8, lowestMag 30,12605.58251
Total: 6717.02645618955,5684.704695,3155.074367,11311.30031, Mag 23, Accel 83, lowestaccel 8, lowestMag 23,12557.51299
Total: 6751.16013580054,5656.336638,3155.146803,11441.99697, Mag 10, Accel 81, lowestaccel 9, lowestMag 10,12545.19628
Total: 5330.41546722474,3378.265095,3155.212274,9457.769033, Mag 44, Accel 26, lowestaccel 7, lowestMag 44,10296.64004
Total: 5273.85431238047,3280.827597,3155.284857,9385.450483, Mag 25, Accel 25, lowestaccel 8, lowestMag 25,10201.8596
Total: 6111.40032285857,3176.184019,3155.349943,12002.66701, Mag 9, Accel 24, lowestaccel 9, lowestMag 9,10369.5322
Total: 6552.05773042607,5671.023149,3155.412108,10829.73793, Mag 16, Accel 82, lowestaccel 9, lowestMag 16,12497.71884
Total: 9782.00200294361,5641.489684,3155.563727,20548.9526, Mag 3, Accel 80, lowestaccel 8, lowestMag 3,13443.36343
Total: 5330.4885650239,3378.40325,3155.63086,9457.431585, Mag 45, Accel 26, lowestaccel 7, lowestMag 45,10297.5678
Total: 5273.57502883825,3281.016171,3155.709225,9383.99969, Mag 26, Accel 25, lowestaccel 8, lowestMag 26,10202.73297
Total: 6828.35771412894,5698.193325,3155.734121,11631.1457, Mag 29, Accel 84, lowestaccel 8, lowestMag 29,12602.9568
Total: 5836.45357652888,3176.799352,3155.781393,11176.77998, Mag 10, Accel 24, lowestaccel 9, lowestMag 10,10288.3602
Total: 6697.99395347387,5685.067121,3155.786684,11253.12806, Mag 22, Accel 83, lowestaccel 8, lowestMag 22,12553.44658
Total: 6920.33959381863,5656.625261,3155.923857,11948.46966, Mag 9, Accel 81, lowestaccel 9, lowestMag 9,12597.65742
Total: 5330.68785855329,3378.541758,3156.054379,9457.467439, Mag 46, Accel 26, lowestaccel 7, lowestMag 46,10298.54308
Total: 5273.3731392733,3281.197779,3156.135277,9382.786361, Mag 27, Accel 25, lowestaccel 8, lowestMag 27,10203.62719
Total: 6536.2130131879,5671.348526,3156.154436,10781.13608, Mag 15, Accel 82, lowestaccel 9, lowestMag 15,12494.63615
Total: 5625.17901754267,3177.375801,3156.236302,10541.92495, Mag 11, Accel 24, lowestaccel 10, lowestMag 11,10226.30332
Total: 10573.0018467336,5641.854677,3156.280562,22920.8703, Mag 2, Accel 80, lowestaccel 7, lowestMag 2,13682.31736
Total: 6813.46935060587,5698.571284,3156.417403,11585.41936, Mag 28, Accel 84, lowestaccel 8, lowestMag 28,12600.0909
Total: 5330.9257261235,3378.679717,3156.493122,9457.60434, Mag 47, Accel 26, lowestaccel 7, lowestMag 47,10299.55842
Total: 6677.71733068558,5685.425665,3156.503062,11191.22327, Mag 21, Accel 83, lowestaccel 8, lowestMag 21,12549.01155
Total: 4179.66901501051,1378.647887,3156.536011,8003.823147, Mag 25, Accel 9, lowestaccel 8, lowestMag 25,8354.237435
Total: 5273.12972279529,3281.38436,3156.565015,9381.439793, Mag 28, Accel 25, lowestaccel 8, lowestMag 28,10204.51993
Total: 7181.03614186605,5656.912853,3156.702162,12729.49341, Mag 8, Accel 81, lowestaccel 9, lowestMag 8,12677.57523
Total: 5469.62904396153,3177.911962,3156.706452,10074.26872, Mag 12, Accel 24, lowestaccel 10, lowestMag 12,10180.96054
Total: 6530.61000919793,5671.667857,3156.902177,10763.25999, Mag 14, Accel 82, lowestaccel 10, lowestMag 14,12494.63142
Total: 5331.1733414079,3378.817823,3156.943315,9457.758885, Mag 48, Accel 26, lowestaccel 7, lowestMag 48,10300.59856
Total: 11456.7161825808,5642.232697,3156.987148,25570.9287, Mag 1, Accel 80, lowestaccel 7, lowestMag 1,13949.07659
Total: 5272.88777770577,3281.578589,3156.99756,9380.087184, Mag 29, Accel 25, lowestaccel 8, lowestMag 29,10205.42457
Total: 6797.78014870992,5698.947482,3157.104056,11537.28891, Mag 27, Accel 84, lowestaccel 8, lowestMag 27,12596.98974
Total: 5380.40328291304,3178.412083,3157.187094,9805.610672, Mag 13, Accel 24, lowestaccel 10, lowestMag 13,10155.50613
Total: 6656.05375133542,5685.78001,3157.223694,11125.15755, Mag 20, Accel 83, lowestaccel 8, lowestMag 20,12544.16515
Total: 5077.29120101934,1476.1427,3157.248542,10598.48236, Mag 12, Accel 10, lowestaccel 10, lowestMag 12,8702.87375
Total: 5331.43397464963,3378.955486,3157.394373,9457.952064, Mag 49, Accel 26, lowestaccel 7, lowestMag 49,10301.64389
Total: 5272.60666069338,3281.779705,3157.432878,9378.607399, Mag 30, Accel 25, lowestaccel 8, lowestMag 30,10206.32823
Total: 7537.24596779082,5657.20281,3157.478682,13797.05641, Mag 7, Accel 81, lowestaccel 9, lowestMag 7,12786.14553
Total: 6547.50152563302,5671.980497,3157.655279,10812.8688, Mag 13, Accel 82, lowestaccel 10, lowestMag 13,12501.37989
